article_title_eng,article_eng,article_title_kor,article_kor
Article 79 (Exchange),"(1) Where it is especially necessary to efficiently manage certain commodities, a local government may exchange the commodities with commodities of the same kind owned by a person other than such local government.(2) Where any commodity is to be exchanged with another commodity pursuant to paragraph (1), if the prices of the two are not the same, the difference shall be paid in cash: Provided, that the difference shall be paid in a lump sum.[This Article Wholly Amended on Dec. 26, 2008]",제79조(교환),"① 지방자치단체는 물품을 효율적으로 관리하기 위하여 특히 필요한 경우에는 그 물품을 그 지방자치단체 외의 자가 소유한 같은 종류의 물품과 교환할 수 있다.② 제1항에 따라 교환하는 경우 양쪽의 가격이 같지 아니할 때에는 그 차액을 금전으로 내야 한다. 다만, 그 차액은 전액을 한꺼번에 내야 한다.[전문개정 2008. 12. 26.]"
CHAPTER VIII SUPPLEMENTARY PROVISIONS,,제8장 보칙,
Article 80 (Collection of Overdue Charges),"Where any person fails to pay the usage fees, rental fees, proceeds from sale, exchange price, or indemnities with regard to public property by their respective payment deadlines, the head of a local government may collect overdue charges for the relevant amount (excluding any interest accrued thereon where the payment is deferred or made in installments), as prescribed by Presidential Decree. In such cases, the period for which the overdue charges are imposed shall not exceed 60 months from the payment deadline. <Amended on Jan. 7, 2014>[This Article Wholly Amended on Feb. 4, 2010]",제80조(연체료의 징수),"지방자치단체의 장은 공유재산의 사용료, 대부료, 매각대금, 교환차금 및 변상금을 내야 할 자가 납부기한까지 내지 아니하는 경우에는 내야 할 금액(징수를 미루거나 나누어 내는 경우 이자는 제외한다)에 대하여 대통령령으로 정하는 바에 따라 연체료를 징수할 수 있다. 이 경우 연체료 부과대상이 되는 연체기간은 납기일부터 60개월을 초과할 수 없다. <개정 2014. 1. 7.>[전문개정 2010. 2. 4.]"
Article 81 (Collection of Indemnities),"(1) With respect to a person who has used, profited from, or occupied public property or commodities (including cases where a person continues to use, profit from, or occupy public property or commodities without permission for use or profit-making or a loan contract after the period of permission for use or profit-making or a loan contract expires; hereinafter referred to as “occupation without permission”) without permission for use or profit-making or a loan contract, the head of a local government shall collect the amount equivalent to 120/100 of the usage fees or rental fees for the relevant public property or commodities (hereinafter referred to as “indemnity”), as prescribed by Presidential Decree: Provided, That in any of the following cases, indemnities shall not be collected: <Amended on Jan. 7, 2014>1. Where a person (including his or her heir and general successor) has acquired the right to a certain property by paying a considerable price as a result of his or her belief that the title holder identified in an official register or other public records was a rightful owner, if such property is found to be public property or commodities after its acquisition and is attributed to a local government;2. Where the State or a local government has allowed public property or commodities to be occupied, used, or profited from for a certain period due to measures against disasters or for any other unavoidable reason.(2) The head of a local government may postpone collecting an indemnity or allow divided payments of the indemnity within a period of five years, as prescribed by Presidential Decree, taking into account the circumstances under which occupation without permission has occurred; the financial conditions of the occupant without permission; the use of the place occupied without permission, etc. <Amended on Jan. 7, 2014>(3) Where an indemnity is collected, the usages fees and rental fees referred to in Articles 23 and 33 shall not be adjusted.[This Article Wholly Amended on Feb. 4, 2010]",제81조(변상금의 징수),"① 지방자치단체의 장은 사용ㆍ수익허가나 대부계약 없이 공유재산 또는 물품을 사용ㆍ수익하거나 점유(사용ㆍ수익허가나 대부계약 기간이 끝난 후 다시 사용ㆍ수익허가나 대부계약 없이 공유재산 또는 물품을 계속 사용ㆍ수익하거나 점유하는 경우를 포함하며, 이하 “무단점유”라 한다)를 한 자에 대하여 대통령령으로 정하는 바에 따라 공유재산 또는 물품에 대한 사용료 또는 대부료의 100분의 120에 해당하는 금액(이하 “변상금”이라 한다)을 징수한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 변상금을 징수하지 아니한다. <개정 2014. 1. 7.>1. 등기부나 그 밖의 공부(公簿)상의 명의인을 정당한 소유자로 믿고 상당한 대가를 지급하고 권리를 취득한 자(취득자의 상속인과 그 포괄승계인을 포함한다)의 재산이 취득 후에 공유재산 또는 물품으로 판명되어 지방자치단체에 귀속된 경우2. 국가나 지방자치단체가 재해대책 등 불가피한 사유로 일정 기간 공유재산 또는 물품을 점유하게 하거나 사용ㆍ수익하게 한 경우② 지방자치단체의 장은 무단점유를 한 자의 무단점유 경위(經緯) 및 경제적 사정과 무단점유지의 용도 등을 고려하여 대통령령으로 정하는 바에 따라 5년의 범위에서 변상금의 징수를 미루거나 나누어 내게 할 수 있다. <개정 2014. 1. 7.>③ 변상금을 징수하는 경우에는 제23조 및 제33조에 따른 사용료 및 대부료의 조정은 하지 아니한다.[전문개정 2010. 2. 4.]"
Article 82 (Additional Dues for Erroneous Payment),"Where a local government returns the usage fees, rental fees, proceeds from sale, or indemnities of public property which have been erroneously paid, it shall repay the relevant amount and interest accrued thereon, which shall be determined by Presidential Decree in consideration of the level of the interest rate of one-year term deposits, for the period from the day following the date on which such erroneous payment is made until the date the return is made.[This Article Wholly Amended on Dec. 26, 2008]",제82조(과오납금 반환가산금),지방자치단체가 과오납된 공유재산의 사용료ㆍ대부료ㆍ매각대금 또는 변상금을 반환하는 경우에는 과오납된 날의 다음 날부터 반환하는 날까지의 기간에 대하여 1년 만기 정기예금 금리수준을 고려하여 대통령령으로 정하는 이자를 가산하여 반환하여야 한다.[전문개정 2008. 12. 26.]
Article 83 (Order to Restore to Original State),"(1) Where public property is occupied or facilities are installed on public property without just cause, the head of a local government may order the restoration to its or their original state or removal of the relevant facilities, or may take necessary measures therefor.(2) Where a person in receipt of an order prescribed in paragraph (1) fails to comply with the order, such measures as restoring to the original state or removing facilities may be taken under the Administrative Vicarious Execution Act, and the expenses incurred in taking such measures may be collected.[This Article Wholly Amended on Feb. 4, 2010]",제83조(원상복구명령 등),① 지방자치단체의 장은 정당한 사유 없이 공유재산을 점유하거나 공유재산에 시설물을 설치한 경우에는 원상복구 또는 시설물의 철거 등을 명하거나 이에 필요한 조치를 할 수 있다.② 제1항에 따른 명령을 받은 자가 그 명령을 이행하지 아니할 때에는 「행정대집행법」에 따라 원상복구 또는 시설물의 철거 등을 하고 그 비용을 징수할 수 있다.[전문개정 2010. 2. 4.]
Article 84 (Monetary Reward for Reports on Concealed Public Property),"Any person who finds and reports on concealed public property may be paid a monetary reward as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제84조(은닉된 공유재산의 신고에 대한 보상),은닉된 공유재산을 발견하여 신고한 자에게는 대통령령으로 정하는 바에 따라 보상금을 지급할 수 있다.[전문개정 2008. 12. 26.]
Article 85 (Special Cases concerning Voluntary Restitution of Concealed Public Property),"Where any person acquires concealed public property in good faith and thereafter returns such property to a local government due to any of the following reasons, the property may be sold to such person through a private contract. In such cases, notwithstanding Article 37, such person may be permitted to purchase the property by installment payments over up to 12 years without interest thereon, or by paying a discounted purchase price in a lump sum calculated by deducting an amount equivalent to up to 80 percent of the original purchase price, as differentiated by the reason of his or her return and as prescribed by Presidential Decree:1. Voluntary restitution;2. Settlement in the litigation;3. Other causes prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제85조(은닉된 공유재산의 자진 반환자에 대한 특례),은닉된 공유재산을 선의로 취득한 후 그 재산을 다음 각 호의 어느 하나에 해당하는 이유로 지방자치단체에 반환한 자에게는 이를 수의매각할 수 있다. 이 경우 제37조에도 불구하고 대통령령으로 정하는 바에 따라 반환의 원인별로 차등을 두어 그 매각대금을 이자 없이 12년 이하의 기간에 걸쳐 분할납부하게 하거나 매각가격에서 8할 이하의 금액을 뺀 잔액을 그 매각대금으로 하여 전액을 한꺼번에 내개 할 수 있다.1. 자진 반환2. 재판상의 화해3. 그 밖에 대통령령으로 정하는 원인[전문개정 2008. 12. 26.]
Article 86 (Due Wear and Tear of Commodities),"(1) Commodities with wear and tear caused by long-term custody, transportation or any other inevitable ground may be disposed of on the ground of due wear and tear.(2) The categories, item names, and rates of due wear and tear of commodities that may be disposed of on the ground of due wear and tear shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제86조(물품의 자연감모),"① 물품의 장기보관이나 운송, 그 밖의 불가피한 사유로 생기는 감모(減耗)는 자연감모로 하여 정리할 수 있다.② 자연감모로 하여 정리할 수 있는 물품의 종류ㆍ품명 및 자연감모율에 관하여는 대통령령으로 정한다.[전문개정 2008. 12. 26.]"
Article 87 (Supply of Commodities),"No commodity shall be supplied to a contractor of construction work, manufacturing, etc. unless it is under a contract pursuant to this Act or other statutes.[This Article Wholly Amended on Dec. 26, 2008]",제87조(물품의 공급),"물품은 이 법 또는 다른 법률에 따른 계약에 의하지 아니하고는 공사ㆍ제조, 그 밖의 계약자에게 공급할 수 없다.[전문개정 2008. 12. 26.]"
Article 88 (Disposal of Damaged Commodities),"Where it is found that a commodity has been lost or damaged as indicated by an inventory investigation referred to in Article 60 (1), the head of a local government may issue an order for compensation referred to in Article 6 (1) of the Act on Liability of Accounting Personnel, Etc., as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제88조(물품의 훼손 등의 처리),지방자치단체의 장은 제60조제1항에 따른 재물조사의 결과 잃어버리거나 훼손된 물품이 발견되면 대통령령으로 정하는 바에 따라 「회계관계직원 등의 책임에 관한 법률」 제6조제1항에 따른 변상명령을 할 수 있다.[전문개정 2008. 12. 26.]
Article 89 (Management of Movables Which Are Not Commodities),"(1) The movables (excluding the movables prescribed in any item of subparagraph 2 of Article 2) which are not commodities as defined in this Act, among the movables kept by a local government, may be managed in ways corresponding to the ways applicable to the commodities prescribed by this Act, as prescribed by Presidential Decree. <Amended on Feb. 4, 2010>(2) The scope of movables other than commodities referred to in paragraph (1) shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제89조(물품이 아닌 동산의 관리),① 지방자치단체가 보관하는 동산 중 이 법에 따른 물품이 아닌 동산(제2조제2호 각 목에 해당하는 동산은 제외한다)도 대통령령으로 정하는 바에 따라 이 법에 따른 물품에 준하여 관리할 수 있다. <개정 2010. 2. 4.>② 제1항에 따른 물품이 아닌 동산의 범위는 대통령령으로 정한다.[전문개정 2008. 12. 26.]
Article 90 (Inspection of Commodity Management),"The head of a local government shall regularly inspect the management of commodities and shall also conduct occasional inspections of the management of commodities under his or her jurisdiction when a commodity management officer, a commodity operating officer, or a commodity accounting official is replaced or otherwise such occasional inspection is needed, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제90조(물품관리에 관한 검사),"지방자치단체의 장은 대통령령으로 정하는 바에 따라 정기적으로 물품관리에 관한 검사를 하여야 하고, 물품관리관ㆍ물품운용관 또는 물품출납공무원이 교체된 경우와 그 밖에 물품관리에 필요한 경우에는 수시로 소관 물품의 관리에 관하여 검사하여야 한다.[전문개정 2008. 12. 26.]"
Article 91 (Exclusion from Application to Some Commodities),"With respect to the management of commodities acquired with contract cost prescribed in Article 74 of the Local Finance Act and other commodities prescribed by Presidential Decree, part of this Act may not be applied, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제91조(일부 물품의 적용 배제),「지방재정법」 제74조에 따른 도급경비로서 취득한 물품과 그 밖에 대통령령으로 정하는 물품의 관리에 관하여는 대통령령으로 정하는 바에 따라 이 법의 일부를 적용하지 아니할 수 있다.[전문개정 2008. 12. 26.]
Article 92 (Disclosure of Operational Status of Public Property and Commodities),"The head of a local government shall disclose important matters related to its financial operation, including the increase or decrease and the current status of public property, the increase or decrease and the current value of major commodities, to its residents at least once each fiscal year.[This Article Wholly Amended on Dec. 26, 2008]",제92조(공유재산 및 물품 운영상황의 공개 등),"지방자치단체의 장은 조례로 정하는 바에 따라 회계연도마다 1회 이상 공유재산의 증감 및 현황, 중요 물품의 증감 및 현재액, 그 밖에 재정 운영에 관한 중요 사항을 주민에게 공개하여야 한다.[전문개정 2008. 12. 26.]"
Article 92-2 (Utilization of Electronic Data Related to Public Property and Commodities),"(1) The Minister of the Interior and Safety may utilize electronic data on public property and commodities of local governments (hereinafter referred to as ""electronic data"") where it is necessary in implementing its policies for improving the system for managing public property and commodities, etc., and such data may be published through an information processing system, etc. designated and publicly notified by the Minister of the Interior and Safety. <Amended on Mar. 23, 2013; Nov. 19, 2014; Jul. 26, 2017>(2) Matters necessary for the utilization of electronic data, the scope and procedures for publication, etc. pursuant to paragraph (1) shall be prescribed by Presidential Decree.[This Article Newly Inserted on Feb. 4, 2010]",제92조의2(공유재산 및 물품 관련 전산자료의 활용 등),"① 행정안전부장관은 공유재산 및 물품 관리의 제도개선 등 정책상 필요한 경우에는 지방자치단체의 공유재산 및 물품 관련 전산자료(이하 “전산자료”라 한다)를 활용할 수 있으며, 행정안전부장관이 지정ㆍ고시하는 정보처리장치 등을 통하여 이를 공표할 수 있다. <개정 2013. 3. 23., 2014. 11. 19., 2017. 7. 26.>② 제1항에 따른 전산자료의 활용, 공표 범위 및 절차 등 필요한 사항은 대통령령으로 정한다.[본조신설 2010. 2. 4.]"
Article 93 (Appointment of Accounting-Related Officers or Delegation),"The head of a local government may designate an official post in his or her government office in lieu of appointing a property manager, commodity management officer, commodity operating officer, or commodity accounting official; any person acting on his or her behalf; or any person who takes partial charge of his or her duties (hereinafter referred to as the ""accounting-related officer""), or in lieu of delegating the duties of accounting-related officers.[This Article Wholly Amended on Dec. 26, 2008]",제93조(회계관계공무원의 임명 또는 위임),"재산관리관, 물품관리관, 물품운용관 및 물품출납공무원과 그 대리자 및 분임자 등(이하 “회계관계공무원”이라 한다)의 임명 또는 회계관계공무원에 대한 사무의 위임은 지방자치단체의 장이 소속 기관에 설치된 관직을 지정함으로써 갈음할 수 있다.[전문개정 2008. 12. 26.]"
"Article 94 (Acting for, and Taking Partial Charge of Duties of, Accounting-Related Officers)","Where it is deemed necessary, the head of a local government or a public official delegated with his or her duties may appoint a public official who acts for an accounting-related officer to perform all of such officer’s duties or who takes partial charge thereof.[This Article Wholly Amended on Dec. 26, 2008]",제94조(회계관계공무원의 대리와 분임),지방자치단체의 장이나 그 위임을 받은 공무원은 필요하다고 인정하면 회계관계공무원 사무의 전부를 대리하거나 그 일부를 분장하는 공무원을 임명할 수 있다.[전문개정 2008. 12. 26.]
Article 94-2 (Standards for Operating Public Property and Commodities),"(1) The Minister of the Interior and Safety may establish the standards for operating public property and commodities so that local governments can handle the management and disposal of public property and commodities and its income and expenditure in a consistent manner. <Amended on Mar. 23, 2013; Nov. 19, 2014; Jul. 26, 2017>(2) Pursuant to the standards for operating public property and commodities referred to in paragraph (1), a local government may enact and operate ordinances or rules prescribing matters pertaining to the management and disposal of public property and commodities and its income and expenditure.[This Article Newly Inserted on Feb. 4, 2010]",제94조의2(공유재산 및 물품 운영기준),"① 행정안전부장관은 지방자치단체가 공유재산과 물품의 관리ㆍ처분ㆍ수입 및 지출을 통일적으로 운영할 수 있게 하기 위하여 공유재산 및 물품의 운영기준을 정할 수 있다. <개정 2013. 3. 23., 2014. 11. 19., 2017. 7. 26.>② 지방자치단체는 제1항에 따른 공유재산 및 물품의 운영기준에 따라 공유재산과 물품의 관리ㆍ처분ㆍ수입 및 지출에 관한 사항을 조례 또는 규칙으로 제정ㆍ운영할 수 있다.[본조신설 2010. 2. 4.]"
Article 94-3 (Operation of Office Buildings of Local Governments),"(1) The head of a local government shall manage office buildings of the local government appropriately.(2) The standards of area for proper management, etc. of office buildings of local governments shall be prescribed by ordinance of the relevant local government within the scope prescribed by Presidential Decree, taking into account the number of residents, the number of public officials, etc. of the relevant local government.[This Article Newly Inserted on Feb. 4, 2010]",제94조의3(지방자치단체의 청사운영),① 지방자치단체의 장은 지방자치단체의 청사를 적정하게 관리하여야 한다.② 지방자치단체 청사의 적정한 관리 등을 위한 청사의 면적기준은 해당 지방자치단체의 주민 및 공무원 수 등을 고려하여 대통령령으로 정하는 범위에서 해당 지방자치단체의 조례로 정한다.[본조신설 2010. 2. 4.]
Article 95 (Mutual Transfer of Public Property and Commodities),"Where it is necessary to efficiently manage public property and commodities, the head of a local government may manage or dispose of them through mutual transfer, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제95조(공유재산과 물품의 상호 전환),지방자치단체의 장은 공유재산과 물품을 효율적으로 관리하기 위하여 필요하면 대통령령으로 정하는 바에 따라 상호 전환하여 관리하거나 처분할 수 있다.[전문개정 2008. 12. 26.]
Article 96 (Provision of Budgetary Incentives and Administrative Activity Expenses to Public Officials Managing Public Property or Commodities),"(1) Where a public official delegated with the duties of managing public property or commodities or a public official taking partial charge of such duties contributes to increasing budgetary revenue or saving budgetary expenditures by identifying concealed public property; collecting indemnities; or efficiently lending, using, trusting, selling, etc. public property or commodities, the head of a local government may pay such public official budgetary incentives pursuant to Article 48 of the Local Finance Act.(2) The head of a local government may provide public officials in charge of public property with expenses for their administrative activities (referring to expenses incurred in performing duties for general supervision, maintenance and management of public property) within the budget.(3) Matters necessary for the scope of paying incentives referred to in paragraph (1) shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제96조(공유재산 및 물품을 관리하는 공무원에 대한 예산성과금 및 관재활동비의 지급),"① 지방자치단체의 장은 공유재산 및 물품 관리에 관한 사무를 위임받거나 그 사무의 일부를 분장하고 있는 공무원이 은닉된 공유재산의 발굴, 변상금의 징수, 공유재산 또는 물품의 효율적인 대부ㆍ사용ㆍ신탁ㆍ매각 등으로 예산상의 수입을 증대시키거나 지출을 절약하는 데에 기여한 경우에는 「지방재정법」 제48조에 따라 예산성과금을 지급할 수 있다.② 지방자치단체의 장은 공유재산을 담당하는 공무원에게 예산의 범위에서 관재활동비(공유재산을 총괄하고 유지ㆍ관리하기 위한 업무에 필요한 활동비를 말한다)를 지급할 수 있다.③ 제1항에 따른 성과금의 지급범위에 관하여 필요한 사항은 대통령령으로 정한다.[전문개정 2008. 12. 26.]"
Article 97 (Application Mutatis Mutandis of the Local Finance Act),"(1) Except as provided in this Act, the Local Finance Act and the Act on Contracts to Which a Local Government Is a Party shall apply mutatis mutandis to the procedures for contracts concerning public property or commodities including the public announcement of a bid and drawing-up of a contract; extinctive prescription of monetary claims and debt obligations; restriction on participation in a bid by illegitimate business operators, etc. <Amended on Jan. 20, 2015>(2) Where any person fails to pay usage fees referred to in Article 22 (1), rental fees referred to in Article 32 (1), overdue charges referred to in Article 80, or indemnities referred to in Article 81 (1) within the payment deadline, the relevant amount may be collected in the same manner as delinquent local taxes are collected. <Amended on Jan. 7, 2014>[This Article Wholly Amended on Feb. 4, 2010]",제97조(「지방재정법」 등의 준용),"① 공유재산 및 물품의 계약을 위한 입찰공고ㆍ계약서 작성 등 계약절차, 금전채권과 채무의 소멸시효, 부정당업자의 입찰참가자격 제한 등에 대하여 이 법에서 정한 사항 외에는 「지방재정법」 및 「지방자치단체를 당사자로 하는 계약에 관한 법률」을 준용한다. <개정 2015. 1. 20.>② 제22조제1항에 따른 사용료, 제32조제1항에 따른 대부료, 제80조에 따른 연체료 및 제81조제1항에 따른 변상금을 납부기한까지 내지 아니하면 지방세 체납처분의 예에 따라 징수할 수 있다. <개정 2014. 1. 7.>[전문개정 2010. 2. 4.]"
"Article 98 (Application of Matters Related to Education, Science, and Physical Education)","With respect to matters pertaining to education, science, and physical education or matters pertaining to special accounts for educational expenses in this Act, the “head of a local government” or “Special Metropolitan City Mayor, Metropolitan City Mayor, or Do Governor” shall be construed as the “superintendent of education,” and the “Minister of the Interior and Safety” as the “Minister of Education.” <Amended on Mar. 23, 2013; Jan. 7, 2014; Nov. 19, 2014; Jul. 26, 2017>[This Article Wholly Amended on Dec. 26, 2008]",제98조(교육ㆍ과학 및 체육 등에 관한 사항의 적용),"이 법에서 교육ㆍ과학 및 체육에 관한 사항 또는 교육비특별회계에 관한 사항에 대하여는 “지방자치단체의 장” 또는 “특별시장ㆍ광역시장 또는 도지사”는 “교육감”으로 보고, “행정안전부장관”은 “교육부장관”으로 본다. <개정 2013. 3. 23., 2014. 1. 7., 2014. 11. 19., 2017. 7. 26.>[전문개정 2008. 12. 26.]"
CHAPTER IX PENALTY PROVISIONS,,제9장 벌칙,
Article 99 (Penalty Provisions),"Any person who has used or profited from administrative property in violation of Article 6 (1) shall be punished by imprisonment with labor for up to two years or by a fine not exceeding 20 million won. <Amended on Feb. 4, 2010; Jan. 7, 2014; May 29, 2016>[This Article Wholly Amended on Dec. 26, 2008]",제99조(벌칙),"제6조제1항을 위반하여 행정재산을 사용하거나 수익한 자는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처한다. <개정 2010. 2. 4., 2014. 1. 7., 2016. 5. 29.>[전문개정 2008. 12. 26.]"
"ADDENDA <Act No. 7665, Aug. 4, 2005>","(1) (Enforcement Date) This Act shall enter into force on January 1, 2006.(2) (Applicability to Indemnities) The provisions concerning indemnities not subject to adjustment of usage fees and rental fees prescribed in Article 81 (5) shall begin to apply to indemnities imposed after this Act enters into force.(3) (Transitional Measures concerning Permission for Use or Profit-Making) The permission for use or profit-making, loan, or other acts granted or conducted under the former provisions of the Local Finance Act with respect to public property or commodities of local governments as at the time this Act enters into force shall be deemed to have been granted or conducted under this Act.(4) (Transitional Measures concerning Application for Permission for Use or Profit-Making) Any application for the permission for use or profit-making, loan, etc. made under the former provisions of the Local Finance Act with respect to public property or commodities of local governments as at the time this Act enters into force shall be governed by the former provisions of the Local Finance Act.(5) (Relationship to Other Statutes) Where any provision pertaining to managing or disposing of public property or commodities of the former Local Finance Act is cited by other statutes as at the time this Act enters into force, if any provision corresponding thereto exists in this Act, this Act or the relevant provision of this Act shall be deemed cited in lieu of such former provision.","부칙  <제7665호, 2005. 8. 4.>","① (시행일) 이 법은 2006년 1월 1일부터 시행한다.② (변상금에 관한 적용례) 제81조제5항의 규정에 의하여 사용료 및 대부료의 조정을 실시하지 아니하는 변상금은 이 법 시행일 이후에 최초로 부과하는 변상금분부터 적용한다.③ (사용ㆍ수익허가 등에 관한 경과조치) 이 법 시행 당시 지방자치단체의 공유재산 및 물품에 대하여 종전의 「지방재정법」의 규정에 의한 사용ㆍ수익허가, 대부 그 밖의 행위는 이 법의 규정에 의하여 행하여진 것으로 본다.④ (사용ㆍ수익허가 등의 신청에 관한 경과조치) 이 법 시행 당시 지방자치단체의 공유재산 및 물품에 대하여 종전의 「지방재정법」의 규정에 의하여 사용ㆍ수익허가, 대부 등을 신청한 경우에는 종전의 지방재정법의 규정에 의한다.⑤ (다른 법률과의 관계) 이 법 시행 당시 다른 법률에서 공유재산 및 물품의 관리 및 처분에 대하여 종전의 「지방재정법」의 규정을 인용한 경우로서 이 법에 그에 해당하는 규정이 있는 때에는 이 법 또는 이 법의 해당 규정을 인용한 것으로 본다."
"ADDENDA <Act No. 8423, May 11, 2007>",Article 1 (Enforcement Date)This Act shall enter into force on the date of its promulgation. (Proviso Omitted.)Articles 2 through 13 Omitted.,"부칙  <제8423호, 2007. 5. 11.>",제1조 (시행일)이 법은 공포한 날부터 시행한다. <단서 생략>제2조부터 제13조까지 생략
"ADDENDA <Act No. 8635, Aug. 3, 2007>",Article 1 (Enforcement Date)This Act shall enter into force one year and six months after the date of its promulgation. (Proviso Omitted.)Articles 2 through 44 Omitted.,"부칙  <제8635호, 2007. 8. 3.>",제1조 (시행일)이 법은 공포 후 1년 6개월이 경과한 날부터 시행한다. <단서 생략>제2조부터 제44조까지 생략
"ADDENDA <Act No. 8852, Feb. 29, 2008>","Article 1 (Enforcement Date)This Act shall enter into force on the date of its promulgation: Provided, That ··· <omitted> ··· the amendments to the Acts to be amended pursuant to Article 6 of the Addenda, which were promulgated before this Act enters into force but the enforcement dates of which have yet to arrive, shall enter into force on the enforcement date of the relevant Act..Articles 2 through 7 Omitted.","부칙  <제8852호, 2008. 2. 29.>","제1조(시행일)이 법은 공포한 날부터 시행한다. 다만, ㆍㆍㆍ<생략>ㆍㆍㆍ, 부칙 제6조에 따라 개정되는 법률 중 이 법의 시행 전에 공포되었으나 시행일이 도래하지 아니한 법률을 개정한 부분은 각각 해당 법률의 시행일부터 시행한다.제2조부터 제7조까지 생략"
"ADDENDA <Act No. 9174, Dec. 26, 2008>","Article 1 (Enforcement Date)This Act shall enter into force four months after the date of its promulgation: Provided, That the amended provisions of Article 21 (3) and (4) shall enter into force on the date of its promulgation, while the amended provisions of the proviso of Article 29 (1) related to the Financial Investment Services and Capital Markets Act shall enter into force on February 4, 2009.Article 2 (Special Cases of Application for Renewal of Periods of Permission for Using or Profit-Making from Administrative Property)Where the period of a contract for using or profit-making is to expire within one month as at the time the amended provisions of Article 21 (3) enter into force, notwithstanding the amended provisions of Article 21 (4), the application for renewing the period of permission for using or profit-making may be submitted to the head of a local government until the date when the period of permission for using or profit-making ends.Article 3 Omitted.Article 4 (Relationship to Other Statutes)Where conservation property which is public property is cited by other statutes or regulations as at the time this Act enters into force, it shall be deemed that property for preservation among administrative property prescribed in this Act has been cited; where miscellaneous property which is public property is cited, it shall be deemed that general property prescribed in this Act has been cited.","부칙  <제9174호, 2008. 12. 26.>","제1조(시행일)이 법은 공포 후 4개월이 경과한 날부터 시행한다. 다만, 제21조제3항 및 제4항의 개정규정은 공포한 날부터 시행하며, 제29조제1항 단서의 개정규정 중 「자본시장과 금융투자업에 관한 법률」에 관련된 부분은 2009년 2월 4일부터 시행한다.제2조(행정재산의 사용ㆍ수익허가기간 갱신신청에 관한 특례)제21조제3항의 개정규정 시행 당시 사용ㆍ수익계약이 끝나는 날이 1개월 이내인 경우에는 제21조제4항의 개정규정에도 불구하고 사용ㆍ수익허가기간이 끝나는 날까지 지방자치단체의 장에게 사용ㆍ수익허가기간의 갱신을 신청할 수 있다.제3조 생략제4조(다른 법령과의 관계)이 법 시행 당시 다른 법령에서 공유재산인 보존재산을 인용한 경우에는 이 법에 따른 행정재산 중 보존용재산을 인용한 것으로 보고, 공유재산인 잡종재산을 인용한 경우에는 이 법에 따른 일반재산을 인용한 것으로 본다."
"ADDENDUM <Act No. 10006, Feb. 4, 2010>","(1) (Enforcement Date) This Act shall enter into force six months after the date of its promulgation.(2) (Applicability to Renewal of Permission for Use or Profit-Making and Loan Contracts) The amended provisions of Articles 21 and 31 shall begin to apply when an application for use or profit-making is made or a loan contract is concluded after this Act enters into force.(3) (Applicability to Termination of Sales Contracts for Public Purposes) The amended provisions of Article 38 (1) 2 shall begin to apply to sales contracts for public purposes concluded after this Act enters into force.(4) (Transitional Measures concerning Abolition of Transfer of Management) Notwithstanding the amended provisions of Article 63, where the transfer of management of commodities is made under the former provisions, the institution to which the management of commodities is transferred may continue to use such commodities.","부칙  <제10006호, 2010. 2. 4.>",① (시행일) 이 법은 공포 후 6개월이 경과한 날부터 시행한다.② (사용ㆍ수익허가 및 대부계약의 갱신 등에 관한 적용례) 제21조 및 제31조의 개정규정은 이 법 시행 후 최초로 사용ㆍ수익허가를 신청하거나 대부계약을 체결하는 경우부터 적용한다.③ (공공목적용 매각계약의 해지 등에 관한 적용례) 제38조제1항제2호의 개정규정은 이 법 시행 후 최초로 체결하는 공공목적용 매각계약부터 적용한다.④ (관리전환 폐지에 관한 경과조치) 제63조의 개정규정에도 불구하고 종전의 규정에 따라 물품을 관리전환받은 경우에는 관리전환을 받은 기관에서 계속하여 물품을 사용할 수 있다.
"ADDENDUM <Act No. 10345, Jun. 8, 2010>",(1) (Enforcement Date) This Act shall enter into force on the date of its promulgation.(2) (Applicability) The amended provisions of the proviso of Article 21 (3) shall begin to apply to the renewal granted after this Act enters into force.,"부칙  <제10345호, 2010. 6. 8.>",① (시행일) 이 법은 공포한 날부터 시행한다.② (적용례) 제21조제3항 단서의 개정규정은 이 법 시행 후 최초로 갱신되는 분부터 적용한다.
"ADDENDA <Act No. 10580, Apr. 12, 2011>",Article 1 (Enforcement Date)This Act shall enter into force six months after the date of its promulgation. (Proviso Omitted.)Articles 2 through 5 Omitted.,"부칙  <제10580호, 2011. 4. 12.>",제1조(시행일)이 법은 공포 후 6개월이 경과한 날부터 시행한다. <단서 생략>제2조부터 제5조까지 생략
